STAR,SHA,DEC
0,319,89
1,358,29
2,354,-42
3,350,56
4,349,-18
5,336,-57
6,328,23
7,316,-40
8,315,4
9,309,50
10,291,16
11,282,-8
12,281,46
13,279,6
14,279,29
15,276,-1
16,271,7
17,264,-53
18,259,-17
19,256,-29
20,245,5
21,244,28
22,234,-59
23,223,-43
24,222,-70
25,218,-9
26,208,12
27,194,62
28,183,15
29,176,-17
30,174,-63
31,172,-57
32,167,56
33,159,-11
34,153,49
35,149,-60
36,149,-36
37,146,19
38,140,-61
39,138,-16
40,137,74
41,127,27
42,113,-26
43,108,-69
44,103,-16
45,97,-37
46,96,13
47,91,51
48,84,-34
49,81,39
50,76,-26
51,63,9
52,54,-57
53,50,45
54,34,10
55,28,-47
56,16,-30
57,14,15
