Almanac Number,Common Name,Bayer Designation,Right Ascention [degrees],Declination [degrees]
0,Polaris,α Ursae Minoris,41,89
1,Alpheratz,α Andromedae,2,29
2,Ankaa,α Phoenicis,6,-42
3,Schedar,α Cassiopeiae,10,56
4,Diphda,β Ceti,11,-18
5,Achernar,α Eridani,24,-57
6,Hamal,α Arietis,32,23
7,Acamar,θ Eridani,44,-40
8,Menkar,α Ceti,45,4
9,Mirfak,α Persei,51,50
10,Aldebaran,α Tauri,69,16
11,Rigel,β Orionis,78,-8
12,Capella,α Aurigae,79,46
13,Bellatrix,γ Orionis,81,6
14,Elnath,β Tauri,81,29
15,Alnilam,ε Orionis,84,-1
16,Betelgeuse,α Orionis,89,7
17,Canopus,α Carinae,96,-53
18,Sirius,α Cani-Majoris,101,-17
19,Adhara,ε Cani-Majoris,104,-29
20,Procyon,α Cani-Minoris,115,5
21,Pollux,β Geminorum,116,28
22,Avior,ε1 Carinae,126,-59
23,Suhail,λ Velorum,137,-43
24,Miaplacidus,β Carinae,138,-70
25,Alphard,α Hydrae,142,-9
26,Regulus,α Leonis,152,12
27,Dubhe,α1 Ursae Majoris,166,62
28,Denebola,β Leonis,177,15
29,Gienah,γ Corvi,184,-17
30,Acrux,α1 Crucis,186,-63
31,Gacrux,γ Crucis,188,-57
32,Alioth,ε Ursae Majoris,193,56
33,Spica,α Virginis,201,-11
34,Alkaid,η Ursae Majoris,207,49
35,Hadar,β Centauri,211,-60
36,Menkent,θ Centauri,211,-36
38,Rigil Kentaurus,α1 Centauri,220,-61
37,Arcturus,α Bootis,214,19
39,Zubenelgenubi,α Librae,222,-16
40,Kochab,β Ursae Minoris,223,74
41,Alphecca,α Corona Borealis,233,27
42,Antares,α Scorpii,247,-26
43,Atria,α Trianguli Australis,252,-69
44,Sabik,η Ophiuchi,257,-16
45,Shaula,λ Scorpii,263,-37
46,Rasalhague,α Ophiuchi,264,13
47,Eltanin,γ Draconis,269,51
48,Kau-Australis,ε Sagittarii,276,-34
49,Vega,α Lyrae,279,39
50,Nunki,σ Sagittarii,284,-26
51,Altair,α Aquilae,297,9
52,Peacock,α Pavonis,306,-57
53,Deneb,α Cygni,310,45
54,Enif,ε Pegasi,326,10
55,Al Na'ir,α Gruis,332,-47
56,Fomalhaut,α Pisci-Austrini,344,-30
57,Markab,α Pegasi,346,15
