Almanac Number,Common Name,Right Ascention [degrees],Declination [degrees]
0,Polaris        ,37.95456067,89.26410897
1,Alpheratz      ,2.09691619,29.09043112
2,Ankaa          ,6.57104752,-42.30598719
3,Schedar        ,10.12683778,56.53733116
4,Diphda         ,10.89737874,-17.98660632
5,Achernar       ,24.42852283,-57.23675281
6,Hamal          ,31.7933571,23.46241755
7,Acamar         ,44.56531356,-40.30468123
8,Menkar         ,45.5698878,4.08973877
9,Mirfak         ,51.08070872,49.86117929
10,Aldebaran      ,68.98016279,16.50930235
11,Rigel          ,78.63446707,-8.20163836
12,Capella        ,79.17232794,45.99799147
13,Bellatrix      ,81.28276356,6.34970326
14,Elnath         ,81.57297133,28.60745172
15,Alnilam        ,84.05338894,-1.20191914
16,Betelgeuse     ,88.79293899,7.407064
17,Canopus        ,95.98795783,-52.69566138
18,Sirius         ,101.2871553,-16.71611586
19,Adhara         ,104.6564532,-28.97208616
20,Procyon        ,114.8254979,5.22498756
21,Pollux         ,116.3289578,28.02619889
22,Avior          ,125.6284802,-59.50948419
23,Suhail         ,136.9989911,-43.43259091
24,Miaplacidus    ,138.2999061,-69.7172076
25,Alphard        ,141.8968446,-8.65859953
26,Regulus        ,152.0929624,11.96720878
27,Dubhe          ,165.9319647,61.75103469
28,Denebola       ,177.2649098,14.57205806
29,Gienah         ,183.951545,-17.54193046
30,Acrux          ,186.6495634,-63.09909286
31,Gacrux         ,187.7914984,-57.11321346
32,Alioth         ,193.50729,55.95982296
33,Spica          ,201.2982474,-11.16131949
34,Alkaid         ,206.8851573,49.31326673
35,Hadar          ,210.9558556,-60.37303516
36,Menkent        ,211.6706147,-36.36995474
38,Rigil Kentaurus,219.9020583,-60.83399269
37,Arcturus       ,213.9153003,19.18240916
39,Zubenelgenubi  ,222.7196379,-16.04177652
40,Kochab         ,222.6763575,74.15550394
41,Alphecca       ,233.67195,26.71469278
42,Antares        ,247.3519154,-26.43200261
43,Atria          ,252.1662295,-69.02771185
44,Sabik          ,257.5945287,-15.72490664
45,Shaula         ,263.4021672,-37.10382355
46,Rasalhague     ,263.7336227,12.56003739
47,Eltanin        ,269.1515412,51.48889562
48,Kaus Australis ,276.0429934,-34.38461649
49,Vega           ,279.2347348,38.78368896
50,Nunki          ,283.8163604,-26.29672411
51,Altair         ,297.6958273,8.8683212
52,Peacock        ,306.4119044,-56.73508973
53,Deneb          ,310.3579798,45.28033881
54,Enif           ,326.0464839,9.875008653
55,Alpha Gruis    ,332.0582697,-46.96097438
56,Fomalhaut      ,344.4126927,-29.62223703
57,Markab         ,346.1902227,15.20526715
